variable,description,category,response_scale
imps09_Ips,La enfermedad ha sido una dificultad económica para mí y para mi familia.,TF-Col item - Psychosocial Impact (Ips),"0-4 (0=NADA,1=UN POCO,2=ALGO,3=MUCHO,4=MUCHÍSIMO)"
imf10_IF,Tengo que asumir muchos gastos adicionales al tratamiento que no se contempla en el seguro médico.,TF-Col item - Financial Impact (IF),"0-4 (0=NADA,1=UN POCO,2=ALGO,3=MUCHO,4=MUCHÍSIMO)"
imps10_Ips,La relación con mis amigos se ha visto afectada a raíz de la enfermedad.,TF-Col item - Psychosocial Impact (Ips),"0-4 (0=NADA,1=UN POCO,2=ALGO,3=MUCHO,4=MUCHÍSIMO)"
PUNTAJE_IF,"Puntaje Impacto Financiero, estimado de la sumatoria de los items de la dimensión IF",TF-Col score,
PUNTAJE_Ips,"Puntaje Impacto Psicosocial, estimado de la sumatoria de los items de la dimensión Ips",TF-Col score,
PUNTAJE_TF,Puntaje Global del TF como la sumatoria de todos los ítems,TF-Col score,
Rango_TF,,TF-Col score,
DF_QL,Puntaje estimado según las indicaciones del instrumento de calidad de vida PedsQl - Dimensión Desempeño físico,PedsQL score,
DE_QL,Puntaje estimado según las indicaciones del instrumento de calidad de vida PedsQl - Dimensión Desempeño emocional,PedsQL score,
DS_QL,Puntaje estimado según las indicaciones del instrumento de calidad de vida PedsQl - Dimensión Desempeño social,PedsQL score,
Des_QL,Puntaje estimado según las indicaciones del instrumento de calidad de vida PedsQl - Dimensión Desempeño escolar,PedsQL score,
Score_PsicoSocial_QL,Puntaje estimado del indicador de Desempeño de Salud Psicosocial  instrumento según las indicaciones del instrumento de calidad de vida PedsQl,PedsQL score,
ScoreTotal_QL,Puntaje estimado Global del instrumento según las indicaciones del instrumento de calidad de vida PedsQl,PedsQL score,
