model,n_cfa,cfi,tli,rmsea,rmsea.ci.lower,rmsea.ci.upper,srmr
Unidimensional,209,0.9997910405611469,0.9997664570977524,0.017806982072788944,0,0.03673753600197999,0.045304502885077154
Correlated 2-factor,209,0.9998985659616112,0.999885961731989,0.012443206023508055,0,0.034116468588855524,0.04446232896775777
