TF_Col,Comparator,n,rho,ci_low,ci_high,rho_ci
TF-Col total score,COST-FACIT total score,348,-0.7846555641201197,-0.8219800926064533,-0.7406194650956281,-0.785 (-0.822 to -0.741)
Financial Impact,COST-FACIT total score,348,-0.758185231964944,-0.7995824949391424,-0.709616923555274,-0.758 (-0.800 to -0.710)
Psychosocial Impact,COST-FACIT total score,348,-0.7683943695546329,-0.8082345150266964,-0.7215518161182746,-0.768 (-0.808 to -0.722)
TF-Col total score,PedsQL total score,143,-0.366587936525536,-0.5006122249684248,-0.2154011011151056,-0.367 (-0.501 to -0.215)
Financial Impact,PedsQL total score,143,-0.3659346949842401,-0.500046636955504,-0.21468154005347503,-0.366 (-0.500 to -0.215)
Psychosocial Impact,PedsQL total score,143,-0.35758735548396126,-0.49280927784022066,-0.20550117927523373,-0.358 (-0.493 to -0.206)
TF-Col total score,PedsQL psychosocial summary,143,-0.3164041509284488,-0.45682639817714576,-0.1605965270728584,-0.316 (-0.457 to -0.161)
Financial Impact,PedsQL psychosocial summary,143,-0.3221481062958046,-0.46187277603354343,-0.16682105689572113,-0.322 (-0.462 to -0.167)
Psychosocial Impact,PedsQL psychosocial summary,143,-0.2929277387182981,-0.43610670022371956,-0.13528412369457576,-0.293 (-0.436 to -0.135)
