item,ML1
1,0.8756811742196777
2,0.8998384831162678
3,0.9252229439048478
4,0.8199525750030691
5,0.9023416019279026
6,0.7047609728276721
7,0.9211182458110355
8,0.8504156457635725
9,0.9370172135426038
10,0.9109222841348281
11,0.7915573002853022
12,0.7272161475920517
13,0.7844351087578818
14,0.7637857090769226
15,0.8351717532097137
16,0.669806989244355
17,0.7653394055929792
18,0.8796913035256398
19,0.654142054530678
20,0.42259170414821856
